movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
Under the Skin,,R,"['Drama', ' Horror', ' Mystery']",108,6.3,80,151509,63.0
Eternal Sunshine of the Spotless Mind,,R,"['Drama', ' Romance', ' Sci-Fi']",108,8.3,89,1044789,83.0
Watchmen,,R,"['Action', ' Drama', ' Mystery']",162,7.6,56,568974,76.0
A Clockwork Orange,,R,"['Crime', ' Sci-Fi']",136,8.3,77,858464,83.0
Jurassic World: Fallen Kingdom,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",128,6.1,51,333203,61.0
The Matrix Resurrections,,R,"['Action', ' Sci-Fi']",148,5.7,63,266529,57.0
Alien: Covenant,,R,"['Horror', ' Sci-Fi', ' Thriller']",122,6.4,65,293616,64.0
Man of Steel,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,7.1,55,796119,71.0
Dune,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137,6.3,41,167821,63.0
Annihilation,,R,"['Adventure', ' Drama', ' Horror']",115,6.8,79,347291,68.0
Avengers: Infinity War,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,8.4,68,1152350,84.0
Prey,,R,"['Action', ' Adventure', ' Drama']",100,7.1,71,212946,71.0
Justice League,,PG-13,"['Action', ' Adventure', ' Fantasy']",120,6.1,45,468886,61.0
The Thing,,16+,"['Horror', ' Mystery', ' Sci-Fi']",109,8.2,57,446333,82.0
Guardians of the Galaxy Vol. 2,,PG-13,"['Action', ' Adventure', ' Comedy']",136,7.6,67,734086,76.0
Deep Impact,,PG-13,"['Action', ' Drama', ' Sci-Fi']",120,6.2,40,185738,62.0
Free Guy,,PG-13,"['Action', ' Adventure', ' Comedy']",115,7.1,62,401013,71.0
Star Wars: Episode IX - The Rise of Skywalker,,PG-13,"['Action', ' Adventure', ' Fantasy']",141,6.5,53,475473,65.0
Iron Man,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,7.9,79,1096473,79.0
Men in Black,,PG-13,"['Action', ' Adventure', ' Comedy']",98,7.3,71,593235,73.0
Black Adam,,PG-13,"['Action', ' Adventure', ' Fantasy']",125,6.3,41,258317,63.0
Transformers,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144,7.0,61,662571,70.0
Life,,R,"['Horror', ' Sci-Fi', ' Thriller']",104,6.6,54,243913,66.0
Blade,,R,"['Action', ' Horror', ' Sci-Fi']",120,7.1,47,288884,71.0
Solo: A Star Wars Story,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",135,6.9,62,366800,69.0
Donnie Darko,,R,"['Drama', ' Mystery', ' Sci-Fi']",113,8.0,88,828759,80.0
The Martian,,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",144,8.0,80,892985,80.0
Mad Max,,R,"['Action', ' Adventure', ' Sci-Fi']",88,6.8,73,215792,68.0
In Time,,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,6.7,53,430393,67.0
Her,,R,"['Drama', ' Romance', ' Sci-Fi']",126,8.0,91,646170,80.0
A Quiet Place,,PG-13,"['Drama', ' Horror', ' Sci-Fi']",90,7.5,82,560673,75.0
Starship Troopers,,R,"['Action', ' Adventure', ' Sci-Fi']",129,7.3,52,309227,73.0
About Time,,R,"['Comedy', ' Drama', ' Fantasy']",123,7.8,55,370973,78.0
Black Panther: Wakanda Forever,,PG-13,"['Action', ' Adventure', ' Drama']",161,6.7,67,284294,67.0
Spider-Man: Homecoming,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",133,7.4,73,694302,74.0
Batman v Superman: Dawn of Justice,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,6.5,44,739110,65.0
Coherence,,Not Rated,"['Drama', ' Mystery', ' Sci-Fi']",89,7.2,65,139482,72.0
Ready Player One,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",140,7.4,64,463531,74.0
Star Wars: Episode III - Revenge of the Sith,,PG-13,"['Action', ' Adventure', ' Fantasy']",140,7.6,68,822168,76.0
Edge of Tomorrow,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,7.9,71,711498,79.0
Thor: Ragnarok,,PG-13,"['Action', ' Adventure', ' Comedy']",130,7.9,74,790531,79.0
28 Days Later,,R,"['Drama', ' Horror', ' Sci-Fi']",113,7.5,73,430862,75.0
Resident Evil: Welcome to Raccoon City,,R,"['Action', ' Horror', ' Sci-Fi']",107,5.2,44,59897,52.0
They Live,,R,"['Action', ' Horror', ' Sci-Fi']",94,7.2,55,138783,72.0
Star Trek,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,7.9,82,613811,79.0
RoboCop,,R,"['Action', ' Crime', ' Sci-Fi']",102,7.6,70,271590,76.0
Doctor Strange in the Multiverse of Madness,,PG-13,"['Action', ' Adventure', ' Fantasy']",126,6.9,60,451951,69.0
Alita: Battle Angel,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",122,7.3,53,283781,73.0
Wonder Woman,,PG-13,"['Action', ' Adventure', ' Fantasy']",141,7.4,76,683188,74.0
Ex Machina,,R,"['Drama', ' Sci-Fi', ' Thriller']",108,7.7,78,568422,77.0
Star Wars: Episode V - The Empire Strikes Back,,PG,"['Action', ' Adventure', ' Fantasy']",124,8.7,82,1339720,87.0
Star Wars: Episode VI - Return of the Jedi,,PG,"['Action', ' Adventure', ' Fantasy']",131,8.3,58,1091692,83.0
Bill & Ted Face the Music,,PG-13,"['Adventure', ' Comedy', ' Music']",91,5.9,65,51327,59.0
The Avengers,,PG-13,"['Action', ' Sci-Fi']",143,8.0,69,1431462,80.0
Eternals,,PG-13,"['Action', ' Adventure', ' Fantasy']",156,6.3,52,368194,63.0
The Lobster,,R,"['Drama', ' Romance', ' Sci-Fi']",119,7.1,82,275195,71.0
Army of the Dead,,R,"['Action', ' Crime', ' Drama']",148,5.8,57,181030,58.0
In the Shadow of the Moon,,TV-MA,"['Action', ' Crime', ' Mystery']",115,6.2,48,58118,62.0
Deadpool 2,,R,"['Action', ' Adventure', ' Comedy']",119,7.6,66,617658,76.0
Spaceballs,,PG,"['Adventure', ' Comedy', ' Sci-Fi']",96,7.1,46,200340,71.0
Mr. Nobody,,R,"['Drama', ' Fantasy', ' Romance']",141,7.7,63,241187,77.0
The Lost World: Jurassic Park,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",129,6.5,59,434016,65.0
I Am Legend,,PG-13,"['Action', ' Drama', ' Horror']",101,7.2,65,790063,72.0
Batman & Robin,,PG-13,"['Action', ' Sci-Fi']",125,3.8,28,262821,38.0
