movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
1984,,R,"['Drama', ' Sci-Fi']",113,7.1,67,76121,71.0
War for the Planet of the Apes,,PG-13,"['Action', ' Adventure', ' Drama']",140,7.4,82,270976,74.0
Dredd,,R,"['Action', ' Crime', ' Sci-Fi']",95,7.1,60,285814,71.0
Incredibles 2,,PG,"['Animation', ' Action', ' Adventure']",118,7.6,80,316956,76.0
Mortal Engines,,PG-13,"['Action', ' Adventure', ' Fantasy']",128,6.1,44,134314,61.0
Wreck-It Ralph,,PG,"['Animation', ' Adventure', ' Comedy']",101,7.7,72,444160,77.0
Samaritan,,PG-13,"['Action', ' Drama', ' Fantasy']",102,5.7,45,52023,57.0
Killer Klowns from Outer Space,,PG-13,"['Comedy', ' Horror', ' Sci-Fi']",88,6.2,43,42435,62.0
The Dark Tower,,PG-13,"['Action', ' Adventure', ' Fantasy']",95,5.6,34,143224,56.0
Super 8,,PG-13,"['Action', ' Mystery', ' Sci-Fi']",112,7.0,72,363015,70.0
Speed Racer,,PG,"['Action', ' Adventure', ' Comedy']",135,6.1,37,76862,61.0
Contact,,PG,"['Drama', ' Mystery', ' Sci-Fi']",150,7.5,62,285742,75.0
Treasure Planet,,PG,"['Animation', ' Adventure', ' Family']",95,7.2,60,127564,72.0
The Adjustment Bureau,,PG-13,"['Crime', ' Mystery', ' Romance']",106,7.0,60,264688,70.0
RoboCop,,PG-13,"['Action', ' Crime', ' Sci-Fi']",117,6.1,52,235439,61.0
Cloverfield,,PG-13,"['Action', ' Adventure', ' Horror']",85,7.0,64,412330,70.0
The Core,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",135,5.5,48,105342,55.0
Transformers: Dark of the Moon,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,6.2,42,424799,62.0
The Matrix Reloaded,,R,"['Action', ' Sci-Fi']",138,7.2,62,615012,72.0
Hollow Man,,R,"['Action', ' Horror', ' Sci-Fi']",112,5.8,24,135646,58.0
Elysium,,R,"['Action', ' Drama', ' Sci-Fi']",109,6.6,61,461784,66.0
The Thing,,R,"['Horror', ' Mystery', ' Sci-Fi']",103,6.2,49,141689,62.0
Riddick,,R,"['Action', ' Adventure', ' Sci-Fi']",119,6.4,49,174438,64.0
Doctor Strange,,PG-13,"['Action', ' Adventure', ' Fantasy']",115,7.5,72,778867,75.0
X-Men Origins: Wolverine,,PG-13,"['Action', ' Sci-Fi']",107,6.5,40,520220,65.0
Oblivion,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,7.0,54,542301,70.0
The Return of the Living Dead,,R,"['Comedy', ' Horror', ' Sci-Fi']",91,7.3,66,65664,73.0
Planet of the Apes,,G,"['Adventure', ' Sci-Fi']",112,8.0,79,187412,80.0
Lilo & Stitch,,PG,"['Animation', ' Adventure', ' Comedy']",85,7.3,74,203753,73.0
Captain America: The Winter Soldier,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,7.8,70,878180,78.0
Star Trek Into Darkness,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,7.7,72,492168,77.0
Ghostbusters II,,PG,"['Action', ' Comedy', ' Fantasy']",108,6.6,56,216313,66.0
Super Mario Bros.,,PG,"['Adventure', ' Comedy', ' Family']",104,4.1,35,61332,41.0
Bumblebee,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,6.7,66,181669,67.0
The Incredible Hulk,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,61,511861,66.0
Spy Kids,,PG,"['Action', ' Adventure', ' Comedy']",88,5.6,71,123388,56.0
The Hunger Games: Mockingjay - Part 2,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137,6.5,65,349793,65.0
Alien: Resurrection,,R,"['Action', ' Horror', ' Sci-Fi']",109,6.2,63,257025,62.0
Ghost in the Shell,,PG-13,"['Action', ' Crime', ' Drama']",107,6.3,52,223058,63.0
The Fountain,,PG-13,"['Drama', ' Mystery', ' Romance']",97,7.2,51,245283,72.0
Brazil,,R,"['Drama', ' Sci-Fi', ' Thriller']",132,7.9,84,207011,79.0
Atlantis: The Lost Empire,,PG,"['Animation', ' Action', ' Adventure']",95,6.9,52,128733,69.0
Barbarella,,Approved,"['Adventure', ' Comedy', ' Fantasy']",98,5.8,51,36708,58.0
Moon,,R,"['Drama', ' Mystery', ' Sci-Fi']",97,7.8,67,369634,78.0
Transformers: Revenge of the Fallen,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,5.9,35,421010,59.0
Hellboy,,PG-13,"['Action', ' Adventure', ' Fantasy']",122,6.8,72,341740,68.0
The Road Warrior,,R,"['Action', ' Adventure', ' Sci-Fi']",96,7.6,77,188358,76.0
Serenity,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,7.8,74,301959,78.0
Dark Phoenix,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,5.7,43,197785,57.0
Godzilla,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.4,62,427206,64.0
Cars 2,,G,"['Animation', ' Adventure', ' Comedy']",106,6.2,57,206628,62.0
"Honey, I Shrunk the Kids",,PG,"['Adventure', ' Comedy', ' Family']",93,6.4,63,162039,64.0
Chronicle,,PG-13,"['Action', ' Drama', ' Sci-Fi']",84,7.0,69,258885,70.0
Green Lantern,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,5.5,39,291713,55.0
Terminator 3: Rise of the Machines,,R,"['Action', ' Sci-Fi']",109,6.3,66,411626,63.0
WarGames,,PG,"['Action', ' Drama', ' Sci-Fi']",114,7.1,77,106448,71.0
Kong: Skull Island,,PG-13,"['Action', ' Adventure', ' Fantasy']",118,6.7,62,334970,67.0
Total Recall,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,6.2,43,261894,62.0
Finch,,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",115,6.9,57,91334,69.0
Unbreakable,,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",106,7.3,62,431711,73.0
The Lego Batman Movie,,PG,"['Animation', ' Action', ' Adventure']",104,7.3,75,165542,73.0
Equilibrium,,R,"['Action', ' Drama', ' Sci-Fi']",107,7.3,33,341080,73.0
RoboCop 2,,R,"['Action', ' Crime', ' Sci-Fi']",117,5.8,42,90110,58.0
Bill & Ted's Excellent Adventure,,PG,"['Adventure', ' Comedy', ' Music']",90,6.9,50,138129,69.0
Tomorrowland,,PG,"['Action', ' Adventure', ' Family']",130,6.4,60,187721,64.0
Knowing,,PG-13,"['Action', ' Mystery', ' Sci-Fi']",121,6.2,41,242620,62.0
TMNT,,PG,"['Animation', ' Action', ' Adventure']",87,6.2,41,67774,62.0
The Time Machine,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",96,6.0,42,128094,60.0
Pokémon: Detective Pikachu,,PG,"['Action', ' Adventure', ' Comedy']",104,6.5,53,176577,65.0
Krull,,PG,"['Action', ' Adventure', ' Fantasy']",121,6.1,45,35277,61.0
Rampage,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",107,6.1,45,179279,61.0
Flash Gordon,,PG,"['Action', ' Adventure', ' Sci-Fi']",111,6.5,58,59765,65.0
The Chronicles of Riddick,,R,"['Action', ' Adventure', ' Sci-Fi']",119,6.6,38,237590,66.0
Metropolis,,Not Rated,"['Drama', ' Sci-Fi']",153,8.3,98,180478,83.0
DC League of Super-Pets,,PG,"['Animation', ' Action', ' Adventure']",105,7.1,56,71615,71.0
Hot Tub Time Machine,,R,"['Comedy', ' Sci-Fi']",99,6.4,63,181878,64.0
Geostorm,,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,5.3,21,114345,53.0
Evolution,,PG-13,"['Comedy', ' Sci-Fi']",101,6.1,40,133435,61.0
Strange Days,,R,"['Crime', ' Drama', ' Sci-Fi']",145,7.2,66,76241,72.0
Stalker,,Not Rated,"['Drama', ' Sci-Fi']",162,8.1,85,140179,81.0
Wild Wild West,,PG-13,"['Action', ' Comedy', ' Sci-Fi']",106,4.9,38,164842,49.0
Real Steel,,PG-13,"['Action', ' Drama', ' Sci-Fi']",127,7.1,56,345641,71.0
Akira,,R,"['Animation', ' Action', ' Drama']",124,8.0,67,197178,80.0
Mortal Kombat,,PG-13,"['Action', ' Adventure', ' Fantasy']",101,5.8,60,122239,58.0
The Hitchhiker's Guide to the Galaxy,,PG,"['Adventure', ' Comedy', ' Sci-Fi']",109,6.7,63,204692,67.0
The Mitchells vs the Machines,,PG,"['Animation', ' Adventure', ' Comedy']",114,7.6,81,120173,76.0
Gattaca,,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",106,7.7,64,315403,77.0
Soylent Green,,PG,"['Crime', ' Mystery', ' Sci-Fi']",97,7.0,66,68444,70.0
Spy Kids 3: Game Over,,PG,"['Action', ' Adventure', ' Comedy']",84,4.3,57,63966,43.0
Back to the Future Part III,,PG,"['Adventure', ' Comedy', ' Sci-Fi']",118,7.4,55,467443,74.0
Robots,,PG,"['Animation', ' Adventure', ' Comedy']",91,6.4,64,156630,64.0
Lifeforce,,R,"['Action', ' Horror', ' Mystery']",101,6.1,50,27961,61.0
Godzilla: King of the Monsters,,PG-13,"['Action', ' Adventure', ' Fantasy']",132,6.0,48,194277,60.0
The Circle,,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",110,5.3,43,97423,53.0
Ender's Game,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,6.6,51,249154,66.0
Disaster Movie,,PG-13,"['Comedy', ' Sci-Fi']",87,1.9,15,93576,19.0
Real Genius,,PG,"['Comedy', ' Romance', ' Sci-Fi']",108,6.9,71,36695,69.0
The Day the Earth Stood Still,,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",104,5.5,40,175887,55.0
Cloudy with a Chance of Meatballs,,PG,"['Animation', ' Adventure', ' Comedy']",90,6.9,66,248632,69.0
Invasion of the Body Snatchers,,PG,"['Horror', ' Sci-Fi']",115,7.4,75,65421,74.0
The Abyss,,PG-13,"['Adventure', ' Drama', ' Mystery']",140,7.5,62,185729,75.0
Level 16,,Not Rated,"['Drama', ' Mystery', ' Sci-Fi']",102,6.1,46,14783,61.0
PAW Patrol: The Movie,,G,"['Animation', ' Action', ' Adventure']",86,6.1,50,7401,61.0
Slither,,R,"['Comedy', ' Horror', ' Sci-Fi']",95,6.5,69,86671,65.0
X2: X-Men United,,PG-13,"['Action', ' Sci-Fi', ' Thriller']",134,7.4,68,565590,74.0
Significant Other,,R,"['Drama', ' Mystery', ' Sci-Fi']",84,5.7,57,11131,57.0
Titane,,R,"['Drama', ' Horror', ' Sci-Fi']",108,6.5,75,51890,65.0
Infinite,,PG-13,"['Action', ' Sci-Fi', ' Thriller']",106,5.5,28,56494,55.0
Love and Monsters,,PG-13,"['Action', ' Adventure', ' Comedy']",109,6.9,63,136819,69.0
Minions,,PG,"['Animation', ' Adventure', ' Comedy']",91,6.4,56,250882,64.0
The Wolverine,,PG-13,"['Action', ' Sci-Fi']",126,6.7,61,482525,67.0
Isle of Dogs,,PG-13,"['Animation', ' Adventure', ' Comedy']",101,7.8,82,182755,78.0
28 Weeks Later,,R,"['Action', ' Adventure', ' Horror']",100,6.9,78,286411,69.0
Hulk,,PG-13,"['Action', ' Sci-Fi']",138,5.6,54,274553,56.0
Lightyear,,PG,"['Animation', ' Action', ' Adventure']",105,6.1,60,117786,61.0
After the Dark,,R,"['Drama', ' Fantasy', ' Sci-Fi']",107,5.6,37,23107,56.0
Species,,R,"['Action', ' Horror', ' Sci-Fi']",108,5.8,49,83108,58.0
X-Men: The Last Stand,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104,6.6,58,531173,66.0
G.I. Joe: The Rise of Cobra,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,5.7,32,212979,57.0
Minions: The Rise of Gru,,PG,"['Animation', ' Adventure', ' Comedy']",87,6.5,56,78333,65.0
Jumper,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",88,6.1,35,316837,61.0
Underwater,,PG-13,"['Action', ' Horror', ' Sci-Fi']",95,5.9,48,89914,59.0
A Cure for Wellness,,R,"['Drama', ' Fantasy', ' Horror']",146,6.4,47,105785,64.0
Power Rangers,,PG-13,"['Action', ' Adventure', ' Fantasy']",124,5.9,44,112128,59.0
The Cloverfield Paradox,,PG-13,"['Action', ' Adventure', ' Horror']",102,5.5,37,110084,55.0
Flight of the Navigator,,PG,"['Adventure', ' Comedy', ' Family']",90,6.9,64,50495,69.0
Superman Returns,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,6.1,72,288779,61.0
Pitch Black,,R,"['Action', ' Horror', ' Sci-Fi']",109,7.0,49,249010,70.0
What Happened to Monday,,TV-MA,"['Action', ' Crime', ' Fantasy']",123,6.8,47,130207,68.0
Onward,,PG,"['Animation', ' Action', ' Adventure']",102,7.4,61,161685,74.0
Ralph Breaks the Internet,,PG,"['Animation', ' Adventure', ' Comedy']",112,7.0,71,174402,70.0
Superhero Movie,,PG-13,"['Action', ' Comedy', ' Sci-Fi']",75,4.6,33,73209,46.0
Predators,,R,"['Action', ' Adventure', ' Fantasy']",107,6.4,51,239181,64.0
Chappie,,R,"['Action', ' Crime', ' Drama']",120,6.8,41,262985,68.0
Never Let Me Go,,R,"['Drama', ' Romance', ' Sci-Fi']",103,7.1,69,150265,71.0
Escape Room: Tournament of Champions,,PG-13,"['Action', ' Adventure', ' Horror']",88,5.7,48,55394,57.0
Spiderhead,,R,"['Action', ' Crime', ' Drama']",106,5.5,54,63599,55.0
Paprika,,R,"['Animation', ' Drama', ' Fantasy']",90,7.7,81,90512,77.0
Megamind,,PG,"['Animation', ' Action', ' Comedy']",95,7.3,63,282443,73.0
The Iron Giant,,PG,"['Animation', ' Action', ' Adventure']",86,8.1,85,215280,81.0
Star Trek II: The Wrath of Khan,,PG,"['Action', ' Adventure', ' Sci-Fi']",113,7.7,68,126679,77.0
Masters of the Universe,,PG,"['Action', ' Adventure', ' Fantasy']",106,5.3,35,42931,53.0
Frequency,,PG-13,"['Crime', ' Drama', ' Mystery']",118,7.4,67,113154,74.0
Battlefield Earth,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,2.5,9,82031,25.0
Paul,,R,"['Adventure', ' Comedy', ' Sci-Fi']",104,6.9,57,261596,69.0
Primer,,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",77,6.7,68,111366,67.0
Overlord,,R,"['Action', ' Horror', ' Sci-Fi']",110,6.6,60,103933,66.0
Death Race,,R,"['Action', ' Sci-Fi', ' Thriller']",105,6.4,43,215435,64.0
The Emoji Movie,,PG,"['Animation', ' Adventure', ' Comedy']",86,3.4,12,68780,34.0
Cube,,R,"['Horror', ' Mystery', ' Sci-Fi']",90,7.1,61,241460,71.0
Possessor,,R,"['Horror', ' Mystery', ' Sci-Fi']",103,6.5,72,42440,65.0
Voyagers,,PG-13,"['Adventure', ' Sci-Fi', ' Thriller']",108,5.4,44,24685,54.0
Supergirl,,PG,"['Action', ' Adventure', ' Fantasy']",124,4.4,41,23391,44.0
Ant-Man and the Wasp,,PG-13,"['Action', ' Adventure', ' Comedy']",118,7.0,70,433667,70.0
RoboCop 3,,PG-13,"['Action', ' Crime', ' Sci-Fi']",104,4.1,40,52550,41.0
Space Jam,,PG,"['Animation', ' Adventure', ' Comedy']",88,6.5,59,207079,65.0
Sorry to Bother You,,R,"['Comedy', ' Drama', ' Fantasy']",112,6.9,80,85242,69.0
The Devil Conspiracy,,R,"['Horror', ' Sci-Fi', ' Thriller']",111,4.5,37,2534,45.0
The Dead Don't Die,,R,"['Comedy', ' Fantasy', ' Horror']",104,5.5,53,82916,55.0
Innerspace,,PG,"['Action', ' Adventure', ' Comedy']",120,6.8,66,63469,68.0
Star Wars: The Clone Wars,,PG,"['Animation', ' Action', ' Adventure']",98,5.9,35,70434,59.0
Maze Runner: The Death Cure,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,6.2,50,153690,62.0
The Adventures of Sharkboy and Lavagirl 3-D,,PG,"['Action', ' Adventure', ' Comedy']",93,3.7,38,40714,37.0
9,,PG-13,"['Animation', ' Action', ' Adventure']",79,7.0,60,144397,70.0
In the Tall Grass,,TV-MA,"['Horror', ' Mystery', ' Sci-Fi']",101,5.5,46,61527,55.0
Chain Reaction,,PG-13,"['Action', ' Drama', ' Sci-Fi']",107,5.6,43,54852,56.0
Threads,,TV-MA,"['Drama', ' Sci-Fi', ' Thriller']",112,8.0,92,18273,80.0
Despicable Me 2,,PG,"['Animation', ' Adventure', ' Comedy']",98,7.3,62,415177,73.0
I Am Number Four,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",111,6.1,36,243133,61.0
Time Trap,,Not Rated,"['Action', ' Adventure', ' Mystery']",87,6.2,46,40970,62.0
Gemini Man,,PG-13,"['Action', ' Sci-Fi', ' Thriller']",117,5.7,38,117915,57.0
Home,,PG,"['Animation', ' Adventure', ' Comedy']",94,6.5,55,108514,65.0
Ghost in the Shell,,TV-MA,"['Animation', ' Action', ' Crime']",83,7.9,76,150899,79.0
Fantastic Four,,PG-13,"['Action', ' Adventure', ' Fantasy']",106,5.7,40,338564,57.0
Battlestar Galactica,,TV-PG,"['Action', ' Adventure', ' Sci-Fi']",60,7.2,39,16816,72.0
Transcendence,,PG-13,"['Action', ' Drama', ' Sci-Fi']",119,6.2,42,235477,62.0
Strange World,,PG,"['Animation', ' Action', ' Adventure']",102,5.7,65,42562,57.0
The Artifice Girl,,,"['Mystery', ' Sci-Fi', ' Thriller']",93,6.5,60,7180,65.0
Doomsday,,R,"['Action', ' Sci-Fi', ' Thriller']",105,5.9,51,78872,59.0
The New Mutants,,PG-13,"['Action', ' Horror', ' Mystery']",94,5.3,43,85865,53.0
Godzilla,,PG-13,"['Action', ' Sci-Fi', ' Thriller']",139,5.4,32,198848,54.0
Boss Level,,TV-MA,"['Action', ' Adventure', ' Comedy']",100,6.8,56,74827,68.0
Fire in the Sky,,PG-13,"['Biography', ' Drama', ' Fantasy']",109,6.5,42,26962,65.0
Songbird,,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",84,4.8,27,11053,48.0
The League of Extraordinary Gentlemen,,PG-13,"['Action', ' Adventure', ' Fantasy']",110,5.8,30,181180,58.0
The Wraith,,PG-13,"['Action', ' Horror', ' Romance']",93,5.9,39,18273,59.0
The Host,,R,"['Drama', ' Horror', ' Sci-Fi']",120,7.1,85,128667,71.0
Mystery Men,,PG-13,"['Action', ' Comedy', ' Fantasy']",121,6.1,65,69500,61.0
Journey to the Center of the Earth,,PG,"['Action', ' Adventure', ' Family']",93,5.8,57,128399,58.0
Maze Runner: The Scorch Trials,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,6.3,43,265473,63.0
Mighty Morphin Power Rangers,,PG,"['Action', ' Adventure', ' Family']",95,5.2,40,29350,52.0
Mad Max Beyond Thunderdome,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",107,6.2,71,143517,62.0
Tank Girl,,R,"['Action', ' Comedy', ' Sci-Fi']",104,5.4,46,33655,54.0
Space Jam: A New Legacy,,PG,"['Animation', ' Adventure', ' Comedy']",115,4.5,36,77264,45.0
Downsizing,,R,"['Drama', ' Fantasy', ' Sci-Fi']",135,5.8,64,116570,58.0
The Rocketeer,,PG,"['Action', ' Adventure', ' Family']",108,6.5,61,60376,65.0
The Silence,,PG-13,"['Drama', ' Horror', ' Sci-Fi']",90,5.3,25,48914,53.0
Predator 2,,R,"['Action', ' Horror', ' Sci-Fi']",108,6.3,46,177041,63.0
Bolt,,PG,"['Animation', ' Adventure', ' Comedy']",96,6.8,67,222267,68.0
Junior,,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",109,4.7,59,71540,47.0
Tron,,PG,"['Action', ' Adventure', ' Sci-Fi']",96,6.7,58,126322,67.0
The Wandering Earth II,,,"['Action', ' Adventure', ' Drama']",173,7.0,56,11150,70.0
The Munsters,,PG,"['Comedy', ' Family', ' Fantasy']",109,4.5,57,10570,45.0
Reminiscence,,PG-13,"['Mystery', ' Romance', ' Sci-Fi']",116,5.9,46,61926,59.0
Logan's Run,,PG,"['Action', ' Adventure', ' Sci-Fi']",119,6.8,53,59444,68.0
Men in Black: International,,PG-13,"['Action', ' Adventure', ' Comedy']",114,5.6,38,141675,56.0
Awake,,TV-MA,"['Action', ' Adventure', ' Drama']",96,4.9,35,24666,49.0
Despicable Me 3,,PG,"['Animation', ' Adventure', ' Comedy']",89,6.2,49,146137,62.0
The Adventures of Buckaroo Banzai Across the 8th Dimension,,PG,"['Adventure', ' Comedy', ' Sci-Fi']",103,6.2,70,28036,62.0
Prospect,,R,"['Adventure', ' Drama', ' Sci-Fi']",100,6.3,68,31793,63.0
Teenage Mutant Ninja Turtles III,,PG,"['Action', ' Adventure', ' Comedy']",96,4.8,40,35442,48.0
Captain Underpants: The First Epic Movie,,PG,"['Animation', ' Action', ' Adventure']",89,6.2,69,31071,62.0
The Matrix Revolutions,,R,"['Action', ' Sci-Fi']",129,6.7,47,530912,67.0
Assassin's Creed,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",115,5.6,36,205017,56.0
Colossal,,R,"['Comedy', ' Drama', ' Fantasy']",109,6.2,70,67592,62.0
Piranha 3DD,,R,"['Comedy', ' Horror', ' Sci-Fi']",83,3.8,24,44615,38.0
The 5th Wave,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,5.2,33,114456,52.0
Alien vs. Predator,,PG-13,"['Action', ' Adventure', ' Horror']",101,5.6,29,207502,56.0
Short Circuit,,PG,"['Comedy', ' Family', ' Sci-Fi']",98,6.6,50,64718,66.0
Take Shelter,,R,"['Drama', ' Horror', ' Sci-Fi']",120,7.3,85,104899,73.0
Synchronic,,R,"['Drama', ' Horror', ' Mystery']",102,6.2,64,37756,62.0
Time Bandits,,PG,"['Adventure', ' Comedy', ' Fantasy']",110,6.9,79,66578,69.0
The Toxic Avenger,,R,"['Action', ' Comedy', ' Horror']",82,6.2,42,30561,62.0
It Comes at Night,,R,"['Drama', ' Horror', ' Mystery']",91,6.2,78,99120,62.0
Secret Headquarters,,PG,"['Action', ' Adventure', ' Comedy']",104,5.2,47,7081,52.0
I Origins,,R,"['Drama', ' Mystery', ' Romance']",106,7.3,57,130455,73.0
Howard the Duck,,PG,"['Action', ' Adventure', ' Comedy']",110,4.7,28,49538,47.0
Jason X,,R,"['Action', ' Horror', ' Sci-Fi']",92,4.4,25,59397,44.0
Maximum Overdrive,,R,"['Action', ' Comedy', ' Horror']",98,5.4,24,34474,54.0
Okja,,TV-MA,"['Action', ' Adventure', ' Drama']",120,7.3,75,128393,73.0
Black Crab,,TV-MA,"['Action', ' Adventure', ' Drama']",114,5.7,54,24602,57.0
Mad God,,Unrated,"['Animation', ' Fantasy', ' Horror']",83,6.8,80,12643,68.0
Allegiant,,PG-13,"['Action', ' Adventure', ' Mystery']",120,5.7,33,129299,57.0
Universal Soldier,,R,"['Action', ' Sci-Fi']",102,6.1,35,93836,61.0
Cocoon,,PG-13,"['Comedy', ' Drama', ' Sci-Fi']",117,6.7,65,66745,67.0
Bedtime Stories,,PG,"['Adventure', ' Comedy', ' Family']",99,6.0,33,99262,60.0
Absolutely Anything,,R,"['Comedy', ' Sci-Fi']",85,6.0,31,46215,60.0
Hellboy II: The Golden Army,,PG-13,"['Action', ' Adventure', ' Fantasy']",120,7.0,78,280741,70.0
eXistenZ,,R,"['Horror', ' Mystery', ' Sci-Fi']",97,6.8,68,104454,68.0
Frankenstein,,R,"['Drama', ' Horror', ' Romance']",123,6.3,49,57661,63.0
Meet the Robinsons,,G,"['Animation', ' Adventure', ' Comedy']",95,6.8,61,107382,68.0
Monsters,,R,"['Adventure', ' Drama', ' Romance']",94,6.4,63,95190,64.0
The Man Who Fell to Earth,,R,"['Drama', ' Sci-Fi']",139,6.6,81,28005,66.0
G.I. Joe: Retaliation,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",110,5.7,41,185422,57.0
Shin Godzilla,,Not Rated,"['Action', ' Drama', ' Horror']",120,6.8,67,30647,68.0
Cowboys & Aliens,,PG-13,"['Action', ' Drama', ' Sci-Fi']",119,6.0,50,228020,60.0
The Last Starfighter,,PG,"['Action', ' Adventure', ' Sci-Fi']",101,6.7,67,44795,67.0
Zardoz,,R,"['Adventure', ' Fantasy', ' Sci-Fi']",105,5.8,46,23875,58.0
Star Trek: The Motion Picture,,G,"['Adventure', ' Mystery', ' Sci-Fi']",143,6.4,50,94399,64.0
High Life,,R,"['Adventure', ' Drama', ' Horror']",113,5.8,78,38865,58.0
Chaos Walking,,PG-13,"['Action', ' Adventure', ' Fantasy']",109,5.7,38,53815,57.0
Criminal,,R,"['Action', ' Sci-Fi', ' Thriller']",113,6.3,36,68842,63.0
The Colony,,R,"['Action', ' Adventure', ' Sci-Fi']",104,5.4,52,11273,54.0
Snake Eyes,,PG-13,"['Action', ' Adventure', ' Crime']",121,5.4,43,42838,54.0
The Happening,,R,"['Adventure', ' Drama', ' Sci-Fi']",91,5.0,34,213259,50.0
Zathura: A Space Adventure,,PG,"['Action', ' Adventure', ' Comedy']",101,6.2,67,111280,62.0
The First Purge,,R,"['Action', ' Horror', ' Sci-Fi']",97,5.2,54,67810,52.0
Jupiter Ascending,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,5.3,40,192298,53.0
Color Out of Space,,Unrated,"['Horror', ' Mystery', ' Sci-Fi']",111,6.2,70,53225,62.0
Independence Day: Resurgence,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",120,5.2,32,185374,52.0
Leviathan,,R,"['Adventure', ' Horror', ' Mystery']",98,5.8,51,22240,58.0
Resident Evil: Apocalypse,,R,"['Action', ' Horror', ' Sci-Fi']",94,6.1,35,206054,61.0
Hardcore Henry,,R,"['Action', ' Adventure', ' Sci-Fi']",96,6.7,51,99719,67.0
Videodrome,,R,"['Horror', ' Sci-Fi', ' Thriller']",87,7.2,60,98794,72.0
Scooby-Doo 2: Monsters Unleashed,,PG,"['Adventure', ' Comedy', ' Family']",93,5.2,34,62229,52.0
The Forgotten,,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",91,5.8,43,67703,58.0
Forbidden Planet,,G,"['Adventure', ' Sci-Fi']",98,7.5,80,51704,75.0
Clifford the Big Red Dog,,PG,"['Animation', ' Adventure', ' Comedy']",96,5.9,55,15754,59.0
The Lego Movie 2: The Second Part,,PG,"['Animation', ' Action', ' Adventure']",107,6.6,65,73489,66.0
The Void,,Not Rated,"['Horror', ' Mystery', ' Sci-Fi']",90,5.9,62,39766,59.0
Doom,,R,"['Action', ' Horror', ' Sci-Fi']",105,5.2,34,116898,52.0
Frankenstein,,Passed,"['Drama', ' Horror', ' Sci-Fi']",70,7.8,91,76562,78.0
Star Trek: First Contact,,PG-13,"['Action', ' Adventure', ' Drama']",111,7.6,71,129901,76.0
Earth Girls Are Easy,,PG,"['Comedy', ' Musical', ' Romance']",100,5.4,66,24564,54.0
Chip 'n Dale: Rescue Rangers,,PG,"['Animation', ' Action', ' Adventure']",97,7.0,66,44947,70.0
Sphere,,PG-13,"['Action', ' Mystery', ' Sci-Fi']",134,6.1,35,110186,61.0
Night of the Comet,,PG-13,"['Comedy', ' Horror', ' Sci-Fi']",95,6.3,59,22752,63.0
The Midnight Sky,,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",118,5.7,58,87107,57.0
Monsters vs. Aliens,,PG,"['Animation', ' Action', ' Adventure']",94,6.4,56,171365,64.0
Mute,,TV-MA,"['Mystery', ' Sci-Fi', ' Thriller']",126,5.4,35,37195,54.0
The Island of Dr. Moreau,,PG-13,"['Horror', ' Sci-Fi', ' Thriller']",96,4.5,37,34754,45.0
